NAME,YEAR,industry_name,industry_values,
"Contra Costa County, California",2010,"Finance and insurance, and real estate and rental and leasing",44089,
"Santa Clara County, California",2010,"Finance and insurance, and real estate and rental and leasing",41459,
"Anne Arundel County, Maryland",2010,"Professional, scientific, and management, and administrative and waste management services",38785,
"Howard County, Maryland",2010,"Professional, scientific, and management, and administrative and waste management services",32194,
"Prince George's County, Maryland",2010,"Professional, scientific, and management, and administrative and waste management services",68340,
"Montgomery County, Maryland",2010,"Professional, scientific, and management, and administrative and waste management services",111816,
"District of Columbia, District of Columbia",2010,"Professional, scientific, and management, and administrative and waste management services",66452,
"Calvert County, Maryland",2010,"Professional, scientific, and management, and administrative and waste management services",4432,
"Marin County, California",2010,"Professional, scientific, and management, and administrative and waste management services",22050,
"San Francisco County, California",2010,"Professional, scientific, and management, and administrative and waste management services",89930,
"San Mateo County, California",2010,"Professional, scientific, and management, and administrative and waste management services",59578,
"Alameda County, California",2010,"Professional, scientific, and management, and administrative and waste management services",113728,
"Contra Costa County, California",2010,"Professional, scientific, and management, and administrative and waste management services",66688,
"Santa Clara County, California",2010,"Professional, scientific, and management, and administrative and waste management services",153969,
"Anne Arundel County, Maryland",2010,"Educational services, and health care and social assistance",52913,
"Howard County, Maryland",2010,"Educational services, and health care and social assistance",33287,
"Prince George's County, Maryland",2010,"Educational services, and health care and social assistance",98554,
"Montgomery County, Maryland",2010,"Educational services, and health care and social assistance",114768,
"District of Columbia, District of Columbia",2010,"Educational services, and health care and social assistance",55973,
"Calvert County, Maryland",2010,"Educational services, and health care and social assistance",10511,
"Marin County, California",2010,"Educational services, and health care and social assistance",27193,
"San Francisco County, California",2010,"Educational services, and health care and social assistance",88869,
"San Mateo County, California",2010,"Educational services, and health care and social assistance",79507,
"Alameda County, California",2010,"Educational services, and health care and social assistance",157244,
"Contra Costa County, California",2010,"Educational services, and health care and social assistance",106913,
"Santa Clara County, California",2010,"Educational services, and health care and social assistance",160641,
"Anne Arundel County, Maryland",2010,"Arts, entertainment, and recreation, and accommodation and food services",19627,
"Howard County, Maryland",2010,"Arts, entertainment, and recreation, and accommodation and food services",10716,
"Prince George's County, Maryland",2010,"Arts, entertainment, and recreation, and accommodation and food services",38259,
"Montgomery County, Maryland",2010,"Arts, entertainment, and recreation, and accommodation and food services",45371,
"District of Columbia, District of Columbia",2010,"Arts, entertainment, and recreation, and accommodation and food services",26169,
"Calvert County, Maryland",2010,"Arts, entertainment, and recreation, and accommodation and food services",3875,
"Marin County, California",2010,"Arts, entertainment, and recreation, and accommodation and food services",11701,
"San Francisco County, California",2010,"Arts, entertainment, and recreation, and accommodation and food services",54107,
"San Mateo County, California",2010,"Arts, entertainment, and recreation, and accommodation and food services",33464,
"Alameda County, California",2010,"Arts, entertainment, and recreation, and accommodation and food services",56708,
"Contra Costa County, California",2010,"Arts, entertainment, and recreation, and accommodation and food services",38828,
"Santa Clara County, California",2010,"Arts, entertainment, and recreation, and accommodation and food services",57324,
"Anne Arundel County, Maryland",2010,"Other services, except public administration",14008,
"Howard County, Maryland",2010,"Other services, except public administration",5860,
"Prince George's County, Maryland",2010,"Other services, except public administration",28016,
"Montgomery County, Maryland",2010,"Other services, except public administration",36984,
"District of Columbia, District of Columbia",2010,"Other services, except public administration",26834,
"Calvert County, Maryland",2010,"Other services, except public administration",2508,
"Marin County, California",2010,"Other services, except public administration",6654,
"San Francisco County, California",2010,"Other services, except public administration",25468,
"San Mateo County, California",2010,"Other services, except public administration",20337,
"Alameda County, California",2010,"Other services, except public administration",35947,
"Contra Costa County, California",2010,"Other services, except public administration",26126,
"Santa Clara County, California",2010,"Other services, except public administration",37362,
"Anne Arundel County, Maryland",2010,Public administration,36842,1135391
"Howard County, Maryland",2010,Public administration,20418,
"Prince George's County, Maryland",2010,Public administration,68711,
"Montgomery County, Maryland",2010,Public administration,59856,
"District of Columbia, District of Columbia",2010,Public administration,54359,
"Calvert County, Maryland",2010,Public administration,7409,
"Marin County, California",2010,Public administration,4046,
"San Francisco County, California",2010,Public administration,18323,
"San Mateo County, California",2010,Public administration,14391,
"Alameda County, California",2010,Public administration,28049,
"Contra Costa County, California",2010,Public administration,19915,
"Santa Clara County, California",2010,Public administration,21300,
"Anne Arundel County, Maryland",2011,"Agriculture, forestry, fishing and hunting, and mining",189,
"Howard County, Maryland",2011,"Agriculture, forestry, fishing and hunting, and mining",624,
"Prince George's County, Maryland",2011,"Agriculture, forestry, fishing and hunting, and mining",1051,
"Montgomery County, Maryland",2011,"Agriculture, forestry, fishing and hunting, and mining",835,
"District of Columbia, District of Columbia",2011,"Agriculture, forestry, fishing and hunting, and mining",108,
"Calvert County, Maryland",2011,"Agriculture, forestry, fishing and hunting, and mining",16,
"Marin County, California",2011,"Agriculture, forestry, fishing and hunting, and mining",1206,
"San Francisco County, California",2011,"Agriculture, forestry, fishing and hunting, and mining",660,
"San Mateo County, California",2011,"Agriculture, forestry, fishing and hunting, and mining",3209,
"Alameda County, California",2011,"Agriculture, forestry, fishing and hunting, and mining",2772,
"Contra Costa County, California",2011,"Agriculture, forestry, fishing and hunting, and mining",3172,
"Santa Clara County, California",2011,"Agriculture, forestry, fishing and hunting, and mining",4348,
"Anne Arundel County, Maryland",2011,Construction,21763,
"Howard County, Maryland",2011,Construction,8726,
"Prince George's County, Maryland",2011,Construction,30814,
"Montgomery County, Maryland",2011,Construction,32110,
"District of Columbia, District of Columbia",2011,Construction,10818,
"Calvert County, Maryland",2011,Construction,5218,
"Marin County, California",2011,Construction,6668,
"San Francisco County, California",2011,Construction,16200,
"San Mateo County, California",2011,Construction,20638,
"Alameda County, California",2011,Construction,35871,
"Contra Costa County, California",2011,Construction,34169,
"Santa Clara County, California",2011,Construction,45681,
"Anne Arundel County, Maryland",2011,Manufacturing,14344,
"Howard County, Maryland",2011,Manufacturing,9762,
"Prince George's County, Maryland",2011,Manufacturing,12418,
"Montgomery County, Maryland",2011,Manufacturing,15088,
"District of Columbia, District of Columbia",2011,Manufacturing,3689,
"Calvert County, Maryland",2011,Manufacturing,1637,
"Marin County, California",2011,Manufacturing,5953,
"San Francisco County, California",2011,Manufacturing,26989,
"San Mateo County, California",2011,Manufacturing,28337,
"Alameda County, California",2011,Manufacturing,83672,
"Contra Costa County, California",2011,Manufacturing,29192,
"Santa Clara County, California",2011,Manufacturing,168251,
"Anne Arundel County, Maryland",2011,Wholesale trade,9195,
"Howard County, Maryland",2011,Wholesale trade,3237,
"Prince George's County, Maryland",2011,Wholesale trade,5776,
"Montgomery County, Maryland",2011,Wholesale trade,6892,
"District of Columbia, District of Columbia",2011,Wholesale trade,1736,
"Calvert County, Maryland",2011,Wholesale trade,1100,
"Marin County, California",2011,Wholesale trade,2692,
"San Francisco County, California",2011,Wholesale trade,8446,
"San Mateo County, California",2011,Wholesale trade,8412,
"Alameda County, California",2011,Wholesale trade,18509,
"Contra Costa County, California",2011,Wholesale trade,9847,
"Santa Clara County, California",2011,Wholesale trade,19732,
"Anne Arundel County, Maryland",2011,Retail trade,27756,
"Howard County, Maryland",2011,Retail trade,12431,
"Prince George's County, Maryland",2011,Retail trade,41596,
"Montgomery County, Maryland",2011,Retail trade,37807,
"District of Columbia, District of Columbia",2011,Retail trade,14239,
"Calvert County, Maryland",2011,Retail trade,5589,
"Marin County, California",2011,Retail trade,13948,
"San Francisco County, California",2011,Retail trade,49862,
"San Mateo County, California",2011,Retail trade,34607,
"Alameda County, California",2011,Retail trade,71929,
"Contra Costa County, California",2011,Retail trade,50819,
"Santa Clara County, California",2011,Retail trade,84606,
"Anne Arundel County, Maryland",2011,"Transportation and warehousing, and utilities",10383,
"Howard County, Maryland",2011,"Transportation and warehousing, and utilities",5864,
"Prince George's County, Maryland",2011,"Transportation and warehousing, and utilities",26169,
"Montgomery County, Maryland",2011,"Transportation and warehousing, and utilities",12886,
"District of Columbia, District of Columbia",2011,"Transportation and warehousing, and utilities",11208,
"Calvert County, Maryland",2011,"Transportation and warehousing, and utilities",2347,
"Marin County, California",2011,"Transportation and warehousing, and utilities",2698,
"San Francisco County, California",2011,"Transportation and warehousing, and utilities",16775,
"San Mateo County, California",2011,"Transportation and warehousing, and utilities",17831,
"Alameda County, California",2011,"Transportation and warehousing, and utilities",39524,
"Contra Costa County, California",2011,"Transportation and warehousing, and utilities",22740,
"Santa Clara County, California",2011,"Transportation and warehousing, and utilities",24929,
"Anne Arundel County, Maryland",2011,Information,6418,
"Howard County, Maryland",2011,Information,3674,
"Prince George's County, Maryland",2011,Information,11881,
"Montgomery County, Maryland",2011,Information,15943,
"District of Columbia, District of Columbia",2011,Information,12933,
"Calvert County, Maryland",2011,Information,1232,
"Marin County, California",2011,Information,4943,
"San Francisco County, California",2011,Information,19170,
"San Mateo County, California",2011,Information,9630,
"Alameda County, California",2011,Information,21455,
"Contra Costa County, California",2011,Information,13989,
"Santa Clara County, California",2011,Information,28192,
"Anne Arundel County, Maryland",2011,"Finance and insurance, and real estate and rental and leasing",15995,
"Howard County, Maryland",2011,"Finance and insurance, and real estate and rental and leasing",10601,
"Prince George's County, Maryland",2011,"Finance and insurance, and real estate and rental and leasing",20279,
"Montgomery County, Maryland",2011,"Finance and insurance, and real estate and rental and leasing",38178,
"District of Columbia, District of Columbia",2011,"Finance and insurance, and real estate and rental and leasing",18262,
"Calvert County, Maryland",2011,"Finance and insurance, and real estate and rental and leasing",2125,
"Marin County, California",2011,"Finance and insurance, and real estate and rental and leasing",11513,
"San Francisco County, California",2011,"Finance and insurance, and real estate and rental and leasing",36213,
"San Mateo County, California",2011,"Finance and insurance, and real estate and rental and leasing",28715,
"Alameda County, California",2011,"Finance and insurance, and real estate and rental and leasing",45204,
"Contra Costa County, California",2011,"Finance and insurance, and real estate and rental and leasing",45291,
"Santa Clara County, California",2011,"Finance and insurance, and real estate and rental and leasing",40989,
"Anne Arundel County, Maryland",2011,"Professional, scientific, and management, and administrative and waste management services",43083,
"Howard County, Maryland",2011,"Professional, scientific, and management, and administrative and waste management services",29543,
"Prince George's County, Maryland",2011,"Professional, scientific, and management, and administrative and waste management services",65785,
"Montgomery County, Maryland",2011,"Professional, scientific, and management, and administrative and waste management services",113508,
"District of Columbia, District of Columbia",2011,"Professional, scientific, and management, and administrative and waste management services",64799,
"Calvert County, Maryland",2011,"Professional, scientific, and management, and administrative and waste management services",6142,
"Marin County, California",2011,"Professional, scientific, and management, and administrative and waste management services",21277,
"San Francisco County, California",2011,"Professional, scientific, and management, and administrative and waste management services",94787,
"San Mateo County, California",2011,"Professional, scientific, and management, and administrative and waste management services",67110,
"Alameda County, California",2011,"Professional, scientific, and management, and administrative and waste management services",111334,
"Contra Costa County, California",2011,"Professional, scientific, and management, and administrative and waste management services",79772,
"Santa Clara County, California",2011,"Professional, scientific, and management, and administrative and waste management services",161171,
